,Ann_Return,Ann_Vol,Sharpe,CI_2013
JP3818000006,-0.07304919708772689,0.37053486870399366,-0.19714527095176876,4.719031783874553
JP3820000002,0.08562725002149488,0.39463732544679414,0.21697706856428442,26.125586243159223
JP3827200001,-0.004983763781870624,0.47851513487361524,-0.010415059877232366,16.16439605257159
JP3830000000,0.19999732290895905,0.33064522346388725,0.6048698384744776,1.959645222831906
JP3830800003,0.09881363905499863,0.3011176507408009,0.32815624993055104,62.02972533901789
JP3835620000,-0.013695259546130864,0.290744509815092,-0.047104103719244055,
JP3854600008,0.1044453033744506,0.25208717666471586,0.4143221593273118,13.6904524425578
JP3866800000,-0.007711865682223193,0.2994209163234395,-0.02575593507934064,8.275773164249243
JP3868400007,0.09529575138265103,0.3931582046426129,0.24238525422425405,6.482868234561631
JP3870400003,0.040104973702939445,0.30904363141925195,0.12977123495074586,3.02691775570711
JP3888300005,-0.011933389705901399,0.3386627379300868,-0.03523679569485119,255.77932013312497
JP3888400003,0.04534805907411968,0.3552229136846568,0.1276608499258487,152.96623509023232
JP3890310000,0.08330301603470162,0.29991089043899516,0.2777592234572298,0.626589574404727
JP3890350006,0.027155496606498908,0.4017013078475207,0.06760121532092868,0.1385733929901687
JP3893600001,0.11530891595494536,0.3029234460192718,0.38065365183918276,25.87867836527121
JP3898400001,0.13057133951424446,0.30024284611934304,0.4348857639803477,
JP3900000005,0.11306925073487492,0.33466389397723223,0.33785912603576895,5.074177870105436
JP3902400005,0.11326691410658751,0.333378541471439,0.339754663292542,8.315770357470692
JP3902900004,0.009914891932653883,0.2496195802623646,0.039720008831970466,0.3736536933833151
JP3903000002,0.10693733611808305,0.3784714663060891,0.2825505900399831,751.882731767003
JP3910660004,0.11526391426691154,0.2676763192591633,0.4306093067400311,0.5103550696134227
JP3914400001,-0.00357393029037437,0.32434530320277905,-0.011018905638784498,17.492585333970244
JP3939000000,0.07485021644673756,0.3877870096383374,0.193018885590173,
JP3940000007,-0.001740997327085349,0.25357334509464335,-0.006865853058946482,42.49777339592504
JP3942400007,0.08812016478059002,0.24441662503598421,0.3605326142099235,7.615397369506793
JP3942800008,0.10726755723513672,0.2859346634756362,0.3751470910566138,14.620592207556378
JP3973400009,0.012061734915649752,0.26415103477998864,0.04566226638368451,8.674088765950007
JP3977400005,0.13979247103878556,0.23959818483523757,0.5834454511202389,10.926408609698822
JP3982100004,0.07900735040796014,0.23595749466657392,0.3348372151501422,1.3658511158070636
JP3982800009,-0.10010476135320417,0.2860525484021893,-0.34995234935805253,48.32332680195319
NZAIAE0002S6,0.22727461890895215,0.2664842044615339,0.8528633784061992,6.711821628593924
NZCENE0001S6,0.1551820780233118,0.264986730747358,0.5856220709076354,1219.003706292474
NZFBUE0001S0,0.21871715654731927,0.30556801413442364,0.715772418676984,114.87576690066092
SG1F60858221,0.12638927498102676,0.21741656946249427,0.581323103816288,7.6680701667096836
SGXE34184239,0.2911410908459296,0.3821965118585927,0.761757582323639,19.64143569028696
SG1R50925390,0.17055543617879096,0.33224760632995565,0.5133383444436679,778.847665671851
SG1R89002252,0.10645496989843456,0.3720916468591841,0.28609878990033283,1.0729419350592837
SG1U68934629,0.2634828594685612,0.34174171768492434,0.7709999857596682,51.959358429316765
SG1V61937297,0.05811769309352137,0.2605049554654062,0.22309630536467517,1164.559714030156
SG9999000020,0.08252379380831232,0.5586699777169886,0.14771474591412048,1.7428997691965449
SGXE21576413,0.31199103767009057,0.587066581699091,0.5314406362002834,1.634446700255682
